municipio,2021,2022,2023,2024,2025,variacao_abs_2021_2025,variacao_%_2021_2025
Manaus,116465,114869,111780,118880,138507,22042,18.925857553771518
Parintins,7223,6162,8092,8890,9329,2106,29.156860030458255
Manacapuru,6299,6785,6733,6987,8184,1885,29.92538498174313
Ipixuna,1109,1785,2407,2537,2297,1188,107.12353471596035
Itacoatiara,5686,5760,5619,6067,6847,1161,20.418571931058736
Benjamin Constant,1657,982,1760,2014,2795,1138,68.67833433916717
Anori,818,731,1982,1658,1857,1039,127.01711491442542
Tefe,5265,5171,5621,5938,6222,957,18.17663817663817
Anama,649,781,1387,1724,1541,892,137.442218798151
Coari,4516,4501,4522,4823,5276,760,16.829052258635958
Alvaraes,681,334,825,1073,1434,753,110.5726872246696
Amatura,362,542,507,435,1106,744,205.52486187845304
Tonantins,932,1357,1161,1515,1595,663,71.137339055794
Atalaia Do Norte,516,603,722,973,1178,662,128.29457364341087
Careiro,1598,1791,1908,2831,2258,660,41.30162703379223
Novo Airao,820,1055,1218,1247,1473,653,79.63414634146342
Itamarati,36,450,1140,1010,688,652,1811.111111111111
Jutai,972,1621,1503,1988,1613,641,65.94650205761316
Eirunepe,1827,833,1558,1862,2438,611,33.44280240831965
Santa Isabel Do Rio Negro,346,655,605,825,938,592,171.09826589595377
Autazes,1684,1536,1627,1765,2276,592,35.15439429928742
Sao Gabriel Da Cachoeira,1941,2000,1752,2120,2483,542,27.92375064399795
Carauari,1723,1557,1891,2296,2246,523,30.354033662217073
Barreirinha,1909,1702,2198,2450,2398,489,25.615505500261925
Manaquiri,1021,1048,942,1014,1508,487,47.698334965719894
Beruri,1041,948,840,1194,1524,483,46.39769452449567
Santo Antonio Do Ica,1398,1419,1600,1662,1856,458,32.76108726752505
Novo Aripuana,1078,1726,1827,1488,1505,427,39.6103896103896
Urucurituba,468,404,541,585,884,416,88.88888888888889
Iranduba,2211,2253,2182,2302,2600,389,17.593848937132517
Codajas,1322,1628,1570,1524,1691,369,27.91225416036309
Nhamunda,838,550,527,1428,1193,355,42.362768496420045
Pauini,792,1140,1080,1357,1147,355,44.82323232323233
Urucara,924,690,938,940,1269,345,37.33766233766234
Labrea,2304,2367,1545,1438,2639,335,14.539930555555557
Silves,801,877,1054,885,1114,313,39.07615480649189
Presidente Figueiredo,1611,1709,1262,1355,1893,282,17.504655493482304
Boa Vista Do Ramos,1026,859,879,1126,1285,259,25.243664717348935
Rio Preto Da Eva,1142,1047,1001,1202,1398,256,22.416812609457093
Envira,880,919,1069,1011,1130,250,28.409090909090917
Caapiranga,583,747,528,775,822,239,40.99485420240136
Careiro Da Varzea,245,318,221,324,478,233,95.10204081632654
Itapiranga,585,569,558,765,781,196,33.5042735042735
Barcelos,933,1111,1133,1060,1120,187,20.042872454448023
Sao Paulo De Olivenca,1783,1790,1992,2178,1967,184,10.31968592260235
Jurua,228,240,37,61,363,135,59.210526315789465
Uarini,1116,742,745,1041,1246,130,11.648745519713266
Canutama,711,537,543,809,808,97,13.64275668073136
Fonte Boa,1590,1294,1493,1619,1680,90,5.660377358490565
Japura,354,375,585,519,435,81,22.881355932203395
Sao Sebastiao Do Uatuma,762,691,748,849,815,53,6.955380577427817
Apui,1035,1116,1125,988,1063,28,2.70531400966183
Boca Do Acre,2336,2401,2805,2675,2352,16,0.6849315068493178
Manicore,2552,2402,2243,2419,2545,-7,-0.2742946708463978
Tapaua,1148,1438,1212,382,1074,-74,-6.445993031358888
Maraa,696,516,583,910,602,-94,-13.505747126436784
Guajara,998,844,950,1140,903,-95,-9.51903807615231
Humaita,3085,2884,2602,2394,2980,-105,-3.4035656401944947
Maues,3772,3787,3425,3276,3548,-224,-5.938494167550368
Borba,2419,2456,2506,2139,1934,-485,-20.04960727573377
Nova Olinda Do Norte,1600,1566,1386,1436,1113,-487,-30.437499999999996
Tabatinga,2866,2921,1360,666,774,-2092,-72.9937194696441
