municipio,internacoes,obitos,taxa_mortalidade,grupo_volume,grupo_mortalidade,quadrante
Alvaraes,4347,51,1.173222912353347,Menor volume,Menor mortalidade,Menor volume / Menor mortalidade
Amatura,2952,28,0.9485094850948509,Menor volume,Menor mortalidade,Menor volume / Menor mortalidade
Anama,6082,22,0.36172311739559354,Menor volume,Menor mortalidade,Menor volume / Menor mortalidade
Anori,7046,54,0.7663922793074085,Maior volume,Menor mortalidade,Maior volume / Menor mortalidade
Apui,5327,99,1.8584569175896375,Menor volume,Menor mortalidade,Menor volume / Menor mortalidade
Atalaia Do Norte,3992,67,1.6783567134268536,Menor volume,Menor mortalidade,Menor volume / Menor mortalidade
Autazes,8888,149,1.6764176417641763,Maior volume,Menor mortalidade,Maior volume / Menor mortalidade
Barcelos,5357,128,2.3893970505880158,Menor volume,Maior mortalidade,Menor volume / Maior mortalidade
Barreirinha,10657,219,2.05498733226987,Maior volume,Maior mortalidade,Maior volume / Maior mortalidade
Benjamin Constant,9208,159,1.7267593397046046,Maior volume,Menor mortalidade,Maior volume / Menor mortalidade
Beruri,5547,98,1.7667207499549304,Menor volume,Menor mortalidade,Menor volume / Menor mortalidade
Boa Vista Do Ramos,5175,101,1.9516908212560384,Menor volume,Maior mortalidade,Menor volume / Maior mortalidade
Boca Do Acre,12569,239,1.9015036995783279,Maior volume,Menor mortalidade,Maior volume / Menor mortalidade
Borba,11454,173,1.5103893836214421,Maior volume,Menor mortalidade,Maior volume / Menor mortalidade
Caapiranga,3455,42,1.215629522431259,Menor volume,Menor mortalidade,Menor volume / Menor mortalidade
Canutama,3408,42,1.232394366197183,Menor volume,Menor mortalidade,Menor volume / Menor mortalidade
Carauari,9713,207,2.1311644188201377,Maior volume,Maior mortalidade,Maior volume / Maior mortalidade
Careiro,10386,227,2.1856345079915274,Maior volume,Maior mortalidade,Maior volume / Maior mortalidade
Careiro Da Varzea,1586,82,5.170239596469105,Menor volume,Maior mortalidade,Menor volume / Maior mortalidade
Coari,23638,924,3.908960148912768,Maior volume,Maior mortalidade,Maior volume / Maior mortalidade
Codajas,7735,179,2.314156431803491,Maior volume,Maior mortalidade,Maior volume / Maior mortalidade
Eirunepe,8518,266,3.1227987790561165,Maior volume,Maior mortalidade,Maior volume / Maior mortalidade
Envira,5009,109,2.1760830505090833,Menor volume,Maior mortalidade,Menor volume / Maior mortalidade
Fonte Boa,7676,148,1.9280875455966648,Maior volume,Menor mortalidade,Maior volume / Menor mortalidade
Guajara,4835,99,2.047569803516029,Menor volume,Maior mortalidade,Menor volume / Maior mortalidade
Humaita,13945,368,2.6389386877016854,Maior volume,Maior mortalidade,Maior volume / Maior mortalidade
Ipixuna,10135,98,0.9669462259496794,Maior volume,Menor mortalidade,Maior volume / Menor mortalidade
