ano,internacoes,codigo_municipio,municipio,obitos,taxa_mortalidade
2021,681,130002,Alvaraes,18,2.643171806167401
2021,362,130006,Amatura,6,1.6574585635359116
2021,649,130008,Anama,5,0.7704160246533128
2021,818,130010,Anori,13,1.5892420537897312
2021,1035,130014,Apui,24,2.318840579710145
2021,516,130020,Atalaia Do Norte,13,2.5193798449612403
2021,1684,130030,Autazes,58,3.44418052256532
2021,933,130040,Barcelos,34,3.644158628081458
2021,1909,130050,Barreirinha,67,3.509690937663698
2021,1657,130060,Benjamin Constant,49,2.957151478575739
2021,1041,130063,Beruri,36,3.45821325648415
2021,1026,130068,Boa Vista Do Ramos,22,2.144249512670565
2021,2336,130070,Boca Do Acre,58,2.482876712328767
2021,2419,130080,Borba,53,2.190988011575031
2021,583,130083,Caapiranga,14,2.401372212692967
2021,711,130090,Canutama,7,0.9845288326300985
2021,1723,130100,Carauari,62,3.5983749274521184
2021,1598,130110,Careiro,86,5.381727158948686
2021,245,130115,Careiro Da Varzea,24,9.795918367346939
2021,4516,130120,Coari,242,5.358724534986714
2021,1322,130130,Codajas,50,3.7821482602118004
2021,1827,130140,Eirunepe,53,2.9009304871373836
2021,880,130150,Envira,21,2.3863636363636367
2021,1590,130160,Fonte Boa,39,2.4528301886792456
2021,998,130165,Guajara,23,2.3046092184368736
2021,3085,130170,Humaita,118,3.8249594813614265
2021,1109,130180,Ipixuna,14,1.2623985572587917
2021,2211,130185,Iranduba,115,5.201266395296246
2021,5686,130190,Itacoatiara,343,6.032360182905381
2021,36,130195,Itamarati,3,8.333333333333332
2021,585,130200,Itapiranga,25,4.273504273504273
2021,354,130210,Japura,7,1.977401129943503
2021,228,130220,Jurua,11,4.824561403508771
2021,972,130230,Jutai,6,0.6172839506172839
2021,2304,130240,Labrea,38,1.6493055555555556
2021,6299,130250,Manacapuru,295,4.683283060803302
2021,1021,130255,Manaquiri,29,2.840352595494613
2021,116465,130260,Manaus,7928,6.807195294723736
2021,2552,130270,Manicore,100,3.918495297805643
2021,696,130280,Maraa,19,2.7298850574712645
2021,3772,130290,Maues,141,3.7380699893955462
2021,838,130300,Nhamunda,35,4.176610978520286
2021,1600,130310,Nova Olinda Do Norte,45,2.8125
2021,820,130320,Novo Airao,28,3.414634146341464
2021,1078,130330,Novo Aripuana,16,1.4842300556586272
2021,7223,130340,Parintins,424,5.870137062162536
2021,792,130350,Pauini,29,3.6616161616161618
2021,1611,130353,Presidente Figueiredo,107,6.641837368094351
2021,1142,130356,Rio Preto Da Eva,80,7.005253940455342
2021,346,130360,Santa Isabel Do Rio Negro,7,2.023121387283237
2021,1398,130370,Santo Antonio Do Ica,33,2.3605150214592276
2021,1941,130380,Sao Gabriel Da Cachoeira,100,5.151983513652756
2021,1783,130390,Sao Paulo De Olivenca,55,3.084688726864835
2021,762,130395,Sao Sebastiao Do Uatuma,23,3.0183727034120733
2021,801,130400,Silves,25,3.1210986267166043
2021,2866,130406,Tabatinga,121,4.221912072575018
2021,1148,130410,Tapaua,30,2.6132404181184667
2021,5265,130420,Tefe,198,3.7606837606837606
2021,932,130423,Tonantins,14,1.502145922746781
2021,1116,130426,Uarini,24,2.1505376344086025
2021,924,130430,Urucara,41,4.437229437229438
2021,468,130440,Urucurituba,23,4.914529914529915
2022,334,130002,Alvaraes,4,1.1976047904191618
2022,542,130006,Amatura,5,0.9225092250922509
2022,781,130008,Anama,6,0.7682458386683738
2022,731,130010,Anori,5,0.6839945280437756
2022,1116,130014,Apui,18,1.6129032258064515
2022,603,130020,Atalaia Do Norte,12,1.9900497512437811
2022,1536,130030,Autazes,19,1.2369791666666665
2022,1111,130040,Barcelos,29,2.6102610261026102
2022,1702,130050,Barreirinha,33,1.9388954171562869
2022,982,130060,Benjamin Constant,26,2.6476578411405294
2022,948,130063,Beruri,23,2.4261603375527425
2022,859,130068,Boa Vista Do Ramos,15,1.7462165308498252
2022,2401,130070,Boca Do Acre,46,1.9158683881715952
2022,2456,130080,Borba,22,0.8957654723127036
2022,747,130083,Caapiranga,9,1.2048192771084338
2022,537,130090,Canutama,2,0.37243947858473
2022,1557,130100,Carauari,35,2.2479126525369297
2022,1791,130110,Careiro,35,1.954215522054718
2022,318,130115,Careiro Da Varzea,20,6.289308176100629
2022,4501,130120,Coari,140,3.1104199066874028
2022,1628,130130,Codajas,32,1.9656019656019657
2022,833,130140,Eirunepe,32,3.8415366146458583
2022,919,130150,Envira,15,1.632208922742111
2022,1294,130160,Fonte Boa,20,1.545595054095827
2022,844,130165,Guajara,17,2.014218009478673
2022,2884,130170,Humaita,86,2.9819694868238558
2022,1785,130180,Ipixuna,16,0.8963585434173669
2022,2253,130185,Iranduba,81,3.5952063914780292
2022,5760,130190,Itacoatiara,186,3.229166666666667
2022,450,130195,Itamarati,3,0.6666666666666667
2022,569,130200,Itapiranga,7,1.2302284710017575
2022,375,130210,Japura,5,1.3333333333333335
2022,240,130220,Jurua,4,1.6666666666666667
2022,1621,130230,Jutai,12,0.7402837754472548
2022,2367,130240,Labrea,58,2.4503591043515
2022,6785,130250,Manacapuru,182,2.682387619749447
2022,1048,130255,Manaquiri,17,1.6221374045801527
2022,114869,130260,Manaus,5221,4.545177550078786
2022,2402,130270,Manicore,49,2.0399666944213157
2022,516,130280,Maraa,2,0.3875968992248062
2022,3787,130290,Maues,99,2.6142064959070503
2022,550,130300,Nhamunda,13,2.3636363636363638
2022,1566,130310,Nova Olinda Do Norte,14,0.8939974457215836
2022,1055,130320,Novo Airao,16,1.5165876777251186
2022,1726,130330,Novo Aripuana,17,0.9849362688296639
2022,6162,130340,Parintins,230,3.732554365465758
2022,1140,130350,Pauini,17,1.4912280701754386
2022,1709,130353,Presidente Figueiredo,64,3.7448800468110006
2022,1047,130356,Rio Preto Da Eva,34,3.2473734479465137
2022,655,130360,Santa Isabel Do Rio Negro,14,2.1374045801526718
2022,1419,130370,Santo Antonio Do Ica,21,1.4799154334038054
2022,2000,130380,Sao Gabriel Da Cachoeira,52,2.6
2022,1790,130390,Sao Paulo De Olivenca,40,2.2346368715083798
2022,691,130395,Sao Sebastiao Do Uatuma,16,2.3154848046309695
2022,877,130400,Silves,10,1.1402508551881414
2022,2921,130406,Tabatinga,83,2.841492639507018
2022,1438,130410,Tapaua,24,1.6689847009735743
2022,5171,130420,Tefe,89,1.721137110810288
2022,1357,130423,Tonantins,12,0.8843036109064112
2022,742,130426,Uarini,14,1.8867924528301887
2022,690,130430,Urucara,16,2.318840579710145
2022,404,130440,Urucurituba,12,2.9702970297029703
2023,825,130002,Alvaraes,8,0.9696969696969697
2023,507,130006,Amatura,2,0.39447731755424065
2023,1387,130008,Anama,6,0.43258832011535686
2023,1982,130010,Anori,14,0.7063572149344097
2023,1125,130014,Apui,8,0.7111111111111111
2023,722,130020,Atalaia Do Norte,11,1.5235457063711912
2023,1627,130030,Autazes,18,1.1063306699446833
2023,1133,130040,Barcelos,28,2.471315092674316
2023,2198,130050,Barreirinha,37,1.6833484986351228
2023,1760,130060,Benjamin Constant,32,1.8181818181818181
2023,840,130063,Beruri,18,2.142857142857143
2023,879,130068,Boa Vista Do Ramos,25,2.844141069397042
2023,2805,130070,Boca Do Acre,57,2.0320855614973263
2023,2506,130080,Borba,26,1.0375099760574622
2023,528,130083,Caapiranga,3,0.5681818181818182
2023,543,130090,Canutama,6,1.1049723756906076
2023,1891,130100,Carauari,38,2.009518773135907
2023,1908,130110,Careiro,46,2.410901467505241
2023,221,130115,Careiro Da Varzea,11,4.97737556561086
2023,4522,130120,Coari,133,2.941176470588235
2023,1570,130130,Codajas,32,2.038216560509554
2023,1558,130140,Eirunepe,50,3.209242618741977
2023,1069,130150,Envira,21,1.9644527595884003
2023,1493,130160,Fonte Boa,20,1.3395847287340925
2023,950,130165,Guajara,11,1.1578947368421053
2023,2602,130170,Humaita,55,2.113758647194466
2023,2407,130180,Ipixuna,13,0.540091400083091
2023,2182,130185,Iranduba,78,3.5747021081576533
2023,5619,130190,Itacoatiara,136,2.4203594945719877
2023,1140,130195,Itamarati,6,0.5263157894736842
2023,558,130200,Itapiranga,13,2.3297491039426523
2023,585,130210,Japura,6,1.0256410256410255
2023,37,130220,Jurua,6,16.216216216216218
2023,1503,130230,Jutai,10,0.665335994677312
2023,1545,130240,Labrea,41,2.6537216828478964
2023,6733,130250,Manacapuru,189,2.8070696569137086
2023,942,130255,Manaquiri,10,1.0615711252653928
2023,111780,130260,Manaus,5035,4.504383610663805
2023,2243,130270,Manicore,48,2.139991083370486
2023,583,130280,Maraa,8,1.3722126929674099
2023,3425,130290,Maues,106,3.0948905109489053
2023,527,130300,Nhamunda,12,2.2770398481973433
2023,1386,130310,Nova Olinda Do Norte,20,1.443001443001443
2023,1218,130320,Novo Airao,21,1.7241379310344827
2023,1827,130330,Novo Aripuana,18,0.9852216748768473
2023,8092,130340,Parintins,157,1.940187839841819
2023,1080,130350,Pauini,21,1.9444444444444444
2023,1262,130353,Presidente Figueiredo,39,3.0903328050713155
2023,1001,130356,Rio Preto Da Eva,30,2.997002997002997
2023,605,130360,Santa Isabel Do Rio Negro,16,2.644628099173554
2023,1600,130370,Santo Antonio Do Ica,11,0.6875
2023,1752,130380,Sao Gabriel Da Cachoeira,52,2.968036529680365
2023,1992,130390,Sao Paulo De Olivenca,41,2.0582329317269075
2023,748,130395,Sao Sebastiao Do Uatuma,11,1.4705882352941175
2023,1054,130400,Silves,6,0.5692599620493358
2023,1360,130406,Tabatinga,46,3.3823529411764706
2023,1212,130410,Tapaua,12,0.9900990099009901
2023,5621,130420,Tefe,68,1.2097491549546344
2023,1161,130423,Tonantins,12,1.03359173126615
2023,745,130426,Uarini,5,0.6711409395973155
2023,938,130430,Urucara,14,1.4925373134328357
