codigo_municipio,codigo_ibge_7,municipio,ano,populacao,fonte_populacao
130002,1300029,Alvarães,2021,16396,IBGE - Estimativas de populacao
130002,1300029,Alvarães,2022,15866,IBGE - Censo Demografico 2022
130002,1300029,Alvarães,2023,16268,Interpolacao linear entre Censo 2022 e estimativa 2024
130002,1300029,Alvarães,2024,16670,IBGE - Estimativas de populacao
130002,1300029,Alvarães,2025,16806,IBGE - Estimativas de populacao
130006,1300060,Amaturá,2021,11934,IBGE - Estimativas de populacao
130006,1300060,Amaturá,2022,10819,IBGE - Censo Demografico 2022
130006,1300060,Amaturá,2023,11115,Interpolacao linear entre Censo 2022 e estimativa 2024
130006,1300060,Amaturá,2024,11411,IBGE - Estimativas de populacao
130006,1300060,Amaturá,2025,11533,IBGE - Estimativas de populacao
130008,1300086,Anamã,2021,14292,IBGE - Estimativas de populacao
130008,1300086,Anamã,2022,9962,IBGE - Censo Demografico 2022
130008,1300086,Anamã,2023,10140,Interpolacao linear entre Censo 2022 e estimativa 2024
130008,1300086,Anamã,2024,10318,IBGE - Estimativas de populacao
130008,1300086,Anamã,2025,9981,IBGE - Estimativas de populacao
130010,1300102,Anori,2021,21937,IBGE - Estimativas de populacao
130010,1300102,Anori,2022,17194,IBGE - Censo Demografico 2022
130010,1300102,Anori,2023,17563,Interpolacao linear entre Censo 2022 e estimativa 2024
130010,1300102,Anori,2024,17932,IBGE - Estimativas de populacao
130010,1300102,Anori,2025,18056,IBGE - Estimativas de populacao
130014,1300144,Apuí,2021,22739,IBGE - Estimativas de populacao
130014,1300144,Apuí,2022,20647,IBGE - Censo Demografico 2022
130014,1300144,Apuí,2023,21191,Interpolacao linear entre Censo 2022 e estimativa 2024
130014,1300144,Apuí,2024,21735,IBGE - Estimativas de populacao
130014,1300144,Apuí,2025,21781,IBGE - Estimativas de populacao
130020,1300201,Atalaia do Norte,2021,20868,IBGE - Estimativas de populacao
130020,1300201,Atalaia do Norte,2022,15314,IBGE - Censo Demografico 2022
130020,1300201,Atalaia do Norte,2023,15603,Interpolacao linear entre Censo 2022 e estimativa 2024
130020,1300201,Atalaia do Norte,2024,15892,IBGE - Estimativas de populacao
130020,1300201,Atalaia do Norte,2025,15889,IBGE - Estimativas de populacao
130030,1300300,Autazes,2021,41005,IBGE - Estimativas de populacao
130030,1300300,Autazes,2022,41564,IBGE - Censo Demografico 2022
130030,1300300,Autazes,2023,43446,Interpolacao linear entre Censo 2022 e estimativa 2024
130030,1300300,Autazes,2024,45328,IBGE - Estimativas de populacao
130030,1300300,Autazes,2025,45960,IBGE - Estimativas de populacao
130040,1300409,Barcelos,2021,27772,IBGE - Estimativas de populacao
130040,1300409,Barcelos,2022,18834,IBGE - Censo Demografico 2022
130040,1300409,Barcelos,2023,18730,Interpolacao linear entre Censo 2022 e estimativa 2024
130040,1300409,Barcelos,2024,18626,IBGE - Estimativas de populacao
130040,1300409,Barcelos,2025,18210,IBGE - Estimativas de populacao
130050,1300508,Barreirinha,2021,32919,IBGE - Estimativas de populacao
130050,1300508,Barreirinha,2022,31051,IBGE - Censo Demografico 2022
130050,1300508,Barreirinha,2023,32244,Interpolacao linear entre Censo 2022 e estimativa 2024
130050,1300508,Barreirinha,2024,33436,IBGE - Estimativas de populacao
130050,1300508,Barreirinha,2025,33722,IBGE - Estimativas de populacao
130060,1300607,Benjamin Constant,2021,44873,IBGE - Estimativas de populacao
130060,1300607,Benjamin Constant,2022,37648,IBGE - Censo Demografico 2022
130060,1300607,Benjamin Constant,2023,39078,Interpolacao linear entre Censo 2022 e estimativa 2024
130060,1300607,Benjamin Constant,2024,40509,IBGE - Estimativas de populacao
130060,1300607,Benjamin Constant,2025,40908,IBGE - Estimativas de populacao
130063,1300631,Beruri,2021,20503,IBGE - Estimativas de populacao
130063,1300631,Beruri,2022,20718,IBGE - Censo Demografico 2022
130063,1300631,Beruri,2023,21427,Interpolacao linear entre Censo 2022 e estimativa 2024
130063,1300631,Beruri,2024,22136,IBGE - Estimativas de populacao
130063,1300631,Beruri,2025,22495,IBGE - Estimativas de populacao
130068,1300680,Boa Vista do Ramos,2021,20040,IBGE - Estimativas de populacao
130068,1300680,Boa Vista do Ramos,2022,23785,IBGE - Censo Demografico 2022
