municipio,internacoes,obitos,posicao,participacao_%,participacao_acumulada_%,taxa_mortalidade
Manaus,600501,29011,1,52.80536265924022,52.80536265924022,4.831132670886476
Parintins,39696,1166,2,3.49068806899772,56.29605072823794,2.9373236598145906
Manacapuru,34988,1055,3,3.0766876803227583,59.37273840856069,3.015319538127358
Itacoatiara,29979,998,4,2.636218702652223,62.008957111212915,3.3289969645418456
Tefe,28217,497,5,2.4812763311897585,64.49023344240267,1.7613495410568096
Coari,23638,924,6,2.0786196235129006,66.56885306591558,3.908960148912768
Maues,17808,530,7,1.565955590807925,68.13480865672351,2.976190476190476
Humaita,13945,368,8,1.2262607094461206,69.36106936616963,2.6389386877016854
Boca Do Acre,12569,239,9,1.1052614454663527,70.46633081163598,1.9015036995783279
Manicore,12161,284,10,1.0693837567281659,71.53571456836416,2.3353342652742373
Iranduba,11548,423,11,1.0154792881092722,72.55119385647343,3.662971943193626
Borba,11454,173,12,1.007213350017631,73.55840720649107,1.5103893836214421
Barreirinha,10657,219,13,0.937128747261908,74.49553595375298,2.05498733226987
Careiro,10386,227,14,0.9132982236147299,75.40883417736771,2.1856345079915274
Sao Gabriel Da Cachoeira,10296,336,15,0.9053840275695416,76.31421820493725,3.263403263403263
Labrea,10293,193,16,0.905120221034702,77.21933842597196,1.8750607208782668
Ipixuna,10135,98,17,0.8912264101998157,78.11056483617178,0.9669462259496794
Carauari,9713,207,18,0.8541176242990441,78.96468246047083,2.1311644188201377
Sao Paulo De Olivenca,9710,207,19,0.8538538177642045,79.81853627823503,2.131822863027806
Benjamin Constant,9208,159,20,0.8097101909343765,80.62824646916941,1.7267593397046046
Autazes,8888,149,21,0.7815708272181513,81.40981729638756,1.6764176417641763
Tabatinga,8587,293,22,0.7551022382225772,82.16491953461014,3.412134622103179
Eirunepe,8518,266,23,0.749034687921266,82.9139542225314,3.1227987790561165
Santo Antonio Do Ica,7935,102,24,0.6977682846507685,83.61172250718217,1.285444234404537
Presidente Figueiredo,7830,286,25,0.6885350559313822,84.30025756311355,3.6526181353767564
Codajas,7735,179,26,0.6801811823281279,84.98043874544167,2.314156431803491
Jutai,7697,46,27,0.6768396328868261,85.6572783783285,0.5976354423801481
Fonte Boa,7676,148,28,0.6749929871429489,86.33227136547144,1.9280875455966648
Novo Aripuana,7624,93,29,0.6704203405390623,87.00269170601051,1.219832109129066
Nova Olinda Do Norte,7101,105,30,0.6244300679653569,87.62712177397587,1.4786649767638362
Anori,7046,54,31,0.6195936148266307,88.2467153888025,0.7663922793074085
Tonantins,6560,70,32,0.5768569561826139,88.82357234498511,1.0670731707317074
Anama,6082,22,33,0.5348237816315027,89.35839612661661,0.36172311739559354
Novo Airao,5813,111,34,0.5111691290075511,89.86956525562417,1.909513160158266
Rio Preto Da Eva,5790,220,35,0.5091466122404473,90.37871186786461,3.7996545768566494
Beruri,5547,98,36,0.48777828291843894,90.86649015078305,1.7667207499549304
Manaquiri,5533,85,37,0.4865471857558541,91.3530373365389,1.536237122718236
Pauini,5516,120,38,0.4850522820584296,91.83808961859734,2.1754894851341553
Barcelos,5357,128,39,0.4710705357119303,92.30916015430927,2.3893970505880158
Apui,5327,99,40,0.4684324703635342,92.7775926246728,1.8584569175896375
Tapaua,5254,81,41,0.46201317801577035,93.23960580268857,1.5416825275980206
Boa Vista Do Ramos,5175,101,42,0.4550662725983273,93.6946720752869,1.9516908212560384
Envira,5009,109,43,0.4404689776705355,94.13514105295744,2.1760830505090833
Uarini,4890,65,44,0.43000465178856434,94.565145704746,1.329243353783231
Guajara,4835,99,45,0.4251681986498381,94.99031390339584,2.047569803516029
Urucara,4761,113,46,0.41866097079046105,95.4089748741863,2.3734509556815797
Silves,4731,68,47,0.416022905442065,95.82499777962836,1.4373282604100612
Nhamunda,4536,106,48,0.39887548067749035,96.22387326030585,2.3368606701940036
Alvaraes,4347,51,49,0.38225566898259494,96.60612892928845,1.173222912353347
Atalaia Do Norte,3992,67,50,0.3510385623599077,96.95716749164835,1.6783567134268536
Sao Sebastiao Do Uatuma,3865,75,51,0.3398707523850309,97.29703824403337,1.9404915912031047
Caapiranga,3455,42,52,0.30381719262361756,97.60085543665699,1.215629522431259
Canutama,3408,42,53,0.299684223577797,97.90053966023478,1.232394366197183
Santa Isabel Do Rio Negro,3369,66,54,0.29625473862488205,98.19679439885967,1.9590382902938557
Itamarati,3324,18,55,0.2922976406022879,98.48909203946195,0.5415162454873645
Maraa,3307,38,56,0.29080273690486347,98.77989477636682,1.1490777139401271
Itapiranga,3258,71,57,0.2864938968358165,99.06638867320264,2.1792510742786986
Amatura,2952,28,58,0.25958563028217624,99.32597430348481,0.9485094850948509
Urucurituba,2882,76,59,0.25343014446925205,99.57940444795406,2.63705759888966
Japura,2268,29,60,0.19943774033874517,99.77884218829281,1.2786596119929452
Careiro Da Varzea,1586,82,61,0.1394657214185405,99.91830790971136,5.170239596469105
Jurua,929,26,62,0.0816920902886659,100.00000000000003,2.798708288482239
