municipio,internacoes,obitos,populacao_media,posicao,participacao_%,participacao_acumulada_%,taxa_mortalidade,internacoes_por_100k,obitos_por_100k,rank_volume,rank_taxa_100k,diferenca_rank
Manaus,600501,29011,2214939.6,1,52.80536265924022,52.80536265924022,4.831132670886476,27111.39391791993,1309.787409101359,1,33,-32
Parintins,39696,1166,103157.2,2,3.49068806899772,56.29605072823794,2.9373236598145906,38481.07548479408,1130.3137347659688,2,4,-2
Manacapuru,34988,1055,106045.0,3,3.0766876803227583,59.37273840856069,3.015319538127358,32993.54047809892,994.8606723560752,3,11,-8
Itacoatiara,29979,998,108428.0,4,2.636218702652223,62.008957111212915,3.3289969645418456,27648.762312317853,920.4264581104512,4,28,-24
Tefe,28217,497,73761.6,5,2.4812763311897585,64.49023344240267,1.7613495410568096,38254.32203206004,673.7923255460836,5,5,0
Coari,23638,924,75388.6,6,2.0786196235129006,66.56885306591558,3.908960148912768,31354.873283228495,1225.6495013834983,6,18,-12
Maues,17808,530,64574.4,7,1.565955590807925,68.13480865672351,2.976190476190476,27577.492009217276,820.7586907505141,7,29,-22
Humaita,13945,368,60065.2,8,1.2262607094461206,69.36106936616963,2.6389386877016854,23216.438137224217,612.6675679095383,8,46,-38
Boca Do Acre,12569,239,36857.8,9,1.1052614454663527,70.46633081163598,1.9015036995783279,34101.32997628724,648.4380511045151,9,7,2
Manicore,12161,284,56586.2,10,1.0693837567281659,71.53571456836416,2.3353342652742373,21491.10560525358,501.8891531857591,10,50,-40
Iranduba,11548,423,62199.0,11,1.0154792881092722,72.55119385647343,3.662971943193626,18566.214890914645,680.0752423672407,11,58,-47
Borba,11454,173,35827.2,12,1.007213350017631,73.55840720649107,1.5103893836214421,31970.123258306543,482.8733476241515,12,15,-3
Barreirinha,10657,219,32674.4,13,0.937128747261908,74.49553595375298,2.05498733226987,32615.74810861102,670.2494919570061,13,13,0
Careiro,10386,227,33201.4,14,0.9132982236147299,75.40883417736771,2.1856345079915274,31281.813417506488,683.7061087785454,14,19,-5
Sao Gabriel Da Cachoeira,10296,336,53345.6,15,0.9053840275695416,76.31421820493725,3.263403263403263,19300.56087099967,629.8551333193366,15,57,-42
Labrea,10293,193,47743.4,16,0.905120221034702,77.21933842597196,1.8750607208782668,21559.00082524495,404.24435628798955,16,49,-33
Ipixuna,10135,98,26290.8,17,0.8912264101998157,78.11056483617178,0.9669462259496794,38549.606706528524,372.753967167222,17,3,14
Carauari,9713,207,29860.0,18,0.8541176242990441,78.96468246047083,2.1311644188201377,32528.4661754856,693.2350971198928,18,14,4
Sao Paulo De Olivenca,9710,207,35704.8,19,0.8538538177642045,79.81853627823503,2.131822863027806,27195.223051242407,579.7539826577939,19,32,-13
Benjamin Constant,9208,159,40603.2,20,0.8097101909343765,80.62824646916941,1.7267593397046046,22678.015525869887,391.5947511526185,20,47,-27
Autazes,8888,149,43460.6,21,0.7815708272181513,81.40981729638756,1.6764176417641763,20450.707077214767,342.8392613079433,21,53,-32
Tabatinga,8587,293,70084.2,22,0.7551022382225772,82.16491953461014,3.412134622103179,12252.404964314353,418.0685518276587,22,59,-37
Eirunepe,8518,266,34994.0,23,0.749034687921266,82.9139542225314,3.1227987790561165,24341.31565411213,760.130308052809,23,42,-19
Santo Antonio Do Ica,7935,102,27911.4,24,0.6977682846507685,83.61172250718217,1.285444234404537,28429.243964831574,365.44207743072724,24,26,-2
