faixa_etaria,internacoes,obitos_estimados,taxa_mortalidade_ponderada
Menor 1 ano,73491,2151.6138,2.9277242111278934
1 a 4 anos,65647,436.7275,0.6652665011348577
5 a 9 anos,39161,211.50850000000003,0.5400998442327827
10 a 14 anos,32752,222.6971,0.6799496213971666
15 a 19 anos,99977,402.2609,0.402353441291497
20 a 29 anos,251760,1562.1924999999999,0.6205086193199872
30 a 39 anos,166569,2255.6781,1.354200421446968
40 a 49 anos,111750,3754.361,3.3596071588366887
50 a 59 anos,94284,5606.4002,5.946290144669297
60 a 69 anos,94774,8152.2007,8.601726950429443
70 a 79 anos,66127,8572.7069,12.96400396207298
80 anos e mais,40905,8107.6569,19.820698936560323
