# fonte: DATASUS TABNET - SIH/SUS, Morbidade Hospitalar por local de residencia - Amazonas
# url_formulario: http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/nram.def
# consulta: Internacoes por municipio e ano de atendimento
# periodo: Jan/2021 a Fev/2026
# linha: Município
# coluna: Ano_atendimento
# conteudo: Internações
# observacao: Retorno TABNET em formato prn separado por ponto e virgula; arquivo salvo como CSV UTF-8.

Munic&iacute;pio,2020,2021,2022,2023,2024,2025,2026,Total
130002 ALVARAES,12,681,334,825,1073,1434,94,4453
130006 AMATURA,9,362,542,507,435,1106,140,3101
130008 ANAMA,8,649,781,1387,1724,1541,207,6297
130010 ANORI,18,818,731,1982,1658,1857,176,7240
130014 APUI,8,1035,1116,1125,988,1063,195,5530
130020 ATALAIA DO NORTE,4,516,603,722,973,1178,137,4133
130030 AUTAZES,56,1684,1536,1627,1765,2276,327,9271
130040 BARCELOS,16,933,1111,1133,1060,1120,89,5462
130050 BARREIRINHA,56,1909,1702,2198,2450,2398,332,11045
130060 BENJAMIN CONSTANT,23,1657,982,1760,2014,2795,13,9244
130063 BERURI,7,1041,948,840,1194,1524,143,5697
130068 BOA VISTA DO RAMOS,29,1026,859,879,1126,1285,130,5334
130070 BOCA DO ACRE,59,2336,2401,2805,2675,2352,128,12756
130080 BORBA,26,2419,2456,2506,2139,1934,85,11565
130083 CAAPIRANGA,18,583,747,528,775,822,136,3609
130090 CANUTAMA,13,711,537,543,809,808,66,3487
130100 CARAUARI,297,1723,1557,1891,2296,2246,334,10344
130110 CAREIRO,55,1598,1791,1908,2831,2258,254,10695
130115 CAREIRO DA VARZEA,27,245,318,221,324,478,62,1675
130120 COARI,173,4516,4501,4522,4823,5276,951,24762
130130 CODAJAS,102,1322,1628,1570,1524,1691,136,7973
130140 EIRUNEPE,12,1827,833,1558,1862,2438,279,8809
130150 ENVIRA,25,880,919,1069,1011,1130,167,5201
130160 FONTE BOA,9,1590,1294,1493,1619,1680,123,7808
130165 GUAJARA,49,998,844,950,1140,903,75,4959
130170 HUMAITA,114,3085,2884,2602,2394,2980,240,14299
130180 IPIXUNA,237,1109,1785,2407,2537,2297,189,10561
130185 IRANDUBA,114,2211,2253,2182,2302,2600,258,11920
130190 ITACOATIARA,125,5686,5760,5619,6067,6847,1151,31255
130195 ITAMARATI,3,36,450,1140,1010,688,18,3345
130200 ITAPIRANGA,16,585,569,558,765,781,166,3440
130210 JAPURA,7,354,375,585,519,435,3,2278
130220 JURUA,5,228,240,37,61,363,83,1017
130230 JUTAI,222,972,1621,1503,1988,1613,21,7940
130240 LABREA,73,2304,2367,1545,1438,2639,506,10872
130250 MANACAPURU,218,6299,6785,6733,6987,8184,736,35942
130255 MANAQUIRI,21,1021,1048,942,1014,1508,215,5769
130260 MANAUS,9802,116465,114869,111780,118880,138507,14577,624880
130270 MANICORE,346,2552,2402,2243,2419,2545,318,12825
130280 MARAA,11,696,516,583,910,602,29,3347
130290 MAUES,341,3772,3787,3425,3276,3548,262,18411
130300 NHAMUNDA,18,838,550,527,1428,1193,106,4660
130310 NOVA OLINDA DO NORTE,27,1600,1566,1386,1436,1113,37,7165
130320 NOVO AIRAO,21,820,1055,1218,1247,1473,145,5979
130330 NOVO ARIPUANA,16,1078,1726,1827,1488,1505,126,7766
130340 PARINTINS,617,7223,6162,8092,8890,9329,1364,41677
130350 PAUINI,12,792,1140,1080,1357,1147,69,5597
130353 PRESIDENTE FIGUEIREDO,87,1611,1709,1262,1355,1893,231,8148
130356 RIO PRETO DA EVA,103,1142,1047,1001,1202,1398,141,6034
130360 SANTA ISABEL DO RIO NEGRO,9,346,655,605,825,938,124,3502
130370 SANTO ANTONIO DO ICA,299,1398,1419,1600,1662,1856,17,8251
130380 SAO GABRIEL DA CACHOEIRA,19,1941,2000,1752,2120,2483,48,10363
130390 SAO PAULO DE OLIVENCA,25,1783,1790,1992,2178,1967,151,9886
130395 SAO SEBASTIAO DO UATUMA,14,762,691,748,849,815,117,3996
130400 SILVES,12,801,877,1054,885,1114,198,4941
130406 TABATINGA,122,2866,2921,1360,666,774,142,8851
130410 TAPAUA,33,1148,1438,1212,382,1074,77,5364
130420 TEFE,325,5265,5171,5621,5938,6222,477,29019
130423 TONANTINS,9,932,1357,1161,1515,1595,221,6790
130426 UARINI,6,1116,742,745,1041,1246,184,5080
130430 URUCARA,34,924,690,938,940,1269,132,4927
130440 URUCURITUBA,7,468,404,541,585,884,52,2941
Total,14581,215288,213892,216155,230844,261018,27710,1179488
