# fonte: DATASUS TABNET - SIH/SUS, Morbidade Hospitalar por local de residencia - Amazonas
# url_formulario: http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/nram.def
# consulta: Obitos por municipio e ano de atendimento
# periodo: Jan/2021 a Fev/2026
# linha: Município
# coluna: Ano_atendimento
# conteudo: Óbitos
# observacao: Retorno TABNET em formato prn separado por ponto e virgula; arquivo salvo como CSV UTF-8.

Munic&iacute;pio,2020,2021,2022,2023,2024,2025,2026,Total
130002 ALVARAES,-,18,4,8,8,13,1,52
130006 AMATURA,-,6,5,2,-,15,1,29
130008 ANAMA,1,5,6,6,2,3,3,26
130010 ANORI,4,13,5,14,11,11,2,60
130014 APUI,-,24,18,8,27,22,2,101
130020 ATALAIA DO NORTE,-,13,12,11,14,17,-,67
130030 AUTAZES,7,58,19,18,31,23,4,160
130040 BARCELOS,1,34,29,28,18,19,2,131
130050 BARREIRINHA,5,67,33,37,33,49,11,235
130060 BENJAMIN CONSTANT,5,49,26,32,18,34,-,164
130063 BERURI,2,36,23,18,11,10,1,101
130068 BOA VISTA DO RAMOS,2,22,15,25,8,31,5,108
130070 BOCA DO ACRE,4,58,46,57,40,38,-,243
130080 BORBA,2,53,22,26,38,34,8,183
130083 CAAPIRANGA,2,14,9,3,6,10,-,44
130090 CANUTAMA,-,7,2,6,14,13,2,44
130100 CARAUARI,2,62,35,38,36,36,4,213
130110 CAREIRO,3,86,35,46,33,27,2,232
130115 CAREIRO DA VARZEA,1,24,20,11,10,17,1,84
130120 COARI,11,242,140,133,154,255,51,986
130130 CODAJAS,4,50,32,32,37,28,2,185
130140 EIRUNEPE,-,53,32,50,60,71,6,272
130150 ENVIRA,-,21,15,21,27,25,4,113
130160 FONTE BOA,1,39,20,20,36,33,4,153
130165 GUAJARA,1,23,17,11,27,21,-,100
130170 HUMAITA,8,118,86,55,61,48,2,378
130180 IPIXUNA,2,14,16,13,34,21,1,101
130185 IRANDUBA,9,115,81,78,68,81,10,442
130190 ITACOATIARA,18,343,186,136,140,193,18,1034
130195 ITAMARATI,-,3,3,6,2,4,1,19
130200 ITAPIRANGA,2,25,7,13,13,13,2,75
130210 JAPURA,3,7,5,6,8,3,-,32
130220 JURUA,-,11,4,6,1,4,1,27
130230 JUTAI,1,6,12,10,5,13,-,47
130240 LABREA,3,38,58,41,36,20,2,198
130250 MANACAPURU,13,295,182,189,177,212,16,1084
130255 MANAQUIRI,-,29,17,10,13,16,2,87
130260 MANAUS,942,7928,5221,5035,5292,5535,629,30582
130270 MANICORE,4,100,49,48,43,44,9,297
130280 MARAA,1,19,2,8,3,6,1,40
130290 MAUES,7,141,99,106,92,92,6,543
130300 NHAMUNDA,1,35,13,12,22,24,1,108
130310 NOVA OLINDA DO NORTE,6,45,14,20,15,11,2,113
130320 NOVO AIRAO,2,28,16,21,24,22,3,116
130330 NOVO ARIPUANA,1,16,17,18,26,16,1,95
130340 PARINTINS,28,424,230,157,172,183,28,1222
130350 PAUINI,1,29,17,21,29,24,1,122
130353 PRESIDENTE FIGUEIREDO,4,107,64,39,36,40,3,293
130356 RIO PRETO DA EVA,6,80,34,30,37,39,5,231
130360 SANTA ISABEL DO RIO NEGRO,1,7,14,16,16,13,3,70
130370 SANTO ANTONIO DO ICA,4,33,21,11,14,23,4,110
130380 SAO GABRIEL DA CACHOEIRA,2,100,52,52,62,70,2,340
130390 SAO PAULO DE OLIVENCA,-,55,40,41,35,36,1,208
130395 SAO SEBASTIAO DO UATUMA,1,23,16,11,14,11,4,80
130400 SILVES,4,25,10,6,10,17,2,74
130406 TABATINGA,5,121,83,46,24,19,5,303
130410 TAPAUA,1,30,24,12,4,11,1,83
130420 TEFE,10,198,89,68,63,79,8,515
130423 TONANTINS,1,14,12,12,10,22,2,73
130426 UARINI,2,24,14,5,8,14,1,68
130430 URUCARA,1,41,16,14,20,22,1,115
130440 URUCURITUBA,4,23,12,6,20,15,-,80
Total,1156,11727,7456,7039,7348,7871,894,43491
